"","x"
"231","Kirchner, Leon"
"232","Klemperer, Otto"
"233","Wood, Mary Knight"
"234","Kurka, Robert"
"235","Weill, Kurt"
"236","Stringfield, Lamar"
"237","Lansky, Paul"
"238","Lauridsen, Morten"
"239","Spiegel, Laurie"
"240","Rosenman, Leonard"
"241","Sowerby, Leo"
"242","Liebermann, Lowell"
"243","Lieberson, Peter"
"244","Strickland, Lily"
"245","Lindroth, Scott"
"246","Rush, Loren"
"247","Maazel, Lorin"
"248","Mason, Lowell"
"249","Luening, Otto"
"250","Mackey, Steven"
"251","Neikrug, Marc"
"252","Martirano, Salvatore"
"253","Mason, William"
"254","Mazzoli, Missy"
"255","McBride, Robert"
"256","Wagner, Melinda"
"257","Mennin, Peter"
"258","Willson, Meredith"
"259","Torke, Michael"
"260","Moore, Undine Smith"
"261","Moravec, Paul"
"262","Wilson, Mortimer"
"263","Muhly, Nico"
"264","Rorem, Ned"
"265","Nelson, Ron"
"266","Newman, Thomas"
"267","Nordoff, Paul"
"268","Oliveros, Pauline"
"269","Shaw, Oliver"
"270","Wilson, Olly"
"271","Pisk, Paul"
"272","Schoenfield, Paul"
"273","Paulus, Stephen"
"274","Persichetti, Vincent"
"275","Schickele, Peter"
"276","Ramey, Phillip"
"277","Picker, Tobias"
"278","Piston, Walter"
"279","Porter, Quincy"
"280","Premru, Raymond"
"281","Ran, Shulamit"
"282","Thompson, Randall"
"283","Reich, Steve"
"284","Reynolds, Roger"
"285","Riegger, Wallingford"
"286","Riley, Terry"
"287","Ward, Robert"
"288","Sessions, Roger"
"289","Schuman, William"
"290","Scott, Tom"
"291","Wolpe, Stefan"
"292","Stucky, Steven"
"293","Street, Tison"
"294","Thomson, Virgil"
"295","Watts, Wintter"
"296","Smit, Leo"
"297","Young, Lester"
"298","Jones, Isham"
"299","Storck,"
"300","Robinson, Earl"
"301","Baker, David J."
"302","Bayes"
"303","Blackwood, Easley"
"304","Boutry, Roger"
"305","Cohen, Edward"
"306","Converse, Frederick S."
"307","Rose, David"
"308","Davis, Katherine "
"309","Rucken,"
"310","Anthem,"
"311","MacDowell, Edward A."
"312","Betti, Henry"
"313","Gerber, Stephen"
"314","Bergson, Michal"
"315","Steiner, Max"
"316","Bliss, Philip"
"317","Harrison, Tim"
"318","Miller,"
"319","Rogers, James H."
"320","Weinberger, Jaromir"
"321","Nero, Paul"
"322","Hartmann,"
"323","Lewis, Leon"
"324","Braine, Robert"
"325","Palmer, Robert"
"326","Mann, Robert"
"327","Franz, Robert"
"328","Nelhybel, Vaclav"
"329","Arne, Thomas"
"330","Rush, Stephen"
"331","Stearns, Theodor"
