"","Nationality","Date.1","Artist"
"1","Austrian",1896,"Otto Wagner"
"2","French",1987,"Christian de Portzamparc"
"3","Austrian",1903,"Emil Hoppe"
"4","French and Swiss",1980,"Bernard Tschumi"
"5","Austrian",1903,"Emil Hoppe"
"6","French and Swiss",1976,"Bernard Tschumi"
"7","French and Swiss",1976,"Bernard Tschumi"
"8","French and Swiss",1976,"Bernard Tschumi"
"9","French and Swiss",1976,"Bernard Tschumi"
"10","French and Swiss",1976,"Bernard Tschumi"
"11","French and Swiss",1976,"Bernard Tschumi"
"12","French and Swiss",1976,"Bernard Tschumi"
"13","French and Swiss",1976,"Bernard Tschumi"
"14","French and Swiss",1976,"Bernard Tschumi"
"15","French and Swiss",1976,"Bernard Tschumi"
"16","French and Swiss",1976,"Bernard Tschumi"
"17","French and Swiss",1976,"Bernard Tschumi"
"18","French and Swiss",1976,"Bernard Tschumi"
"19","French and Swiss",1976,"Bernard Tschumi"
"20","French and Swiss",1976,"Bernard Tschumi"
"21","French and Swiss",1976,"Bernard Tschumi"
"22","French and Swiss",1976,"Bernard Tschumi"
"23","French and Swiss",1976,"Bernard Tschumi"
"24","French and Swiss",1976,"Bernard Tschumi"
"25","French and Swiss",1976,"Bernard Tschumi"
"26","French and Swiss",1976,"Bernard Tschumi"
"27","French and Swiss",1976,"Bernard Tschumi"
"28","French and Swiss",1976,"Bernard Tschumi"
"29","French and Swiss",1976,"Bernard Tschumi"
"30","French and Swiss",1976,"Bernard Tschumi"
"31","American",1968,"Louis I. Kahn"
"32","French and Swiss",1980,"Bernard Tschumi"
"33","Austrian",1900,"Marcel Kammerer"
"34","French and Swiss",1978,"Bernard Tschumi"
"35","Austrian",1905,"Otto Sch<U+00F6>nthal"
"36","French and Swiss",1980,"Bernard Tschumi"
"37","Austrian",1906,"Otto Sch<U+00F6>nthal"
"38","French and Swiss",1979,"Bernard Tschumi"
"39","French and Swiss",1979,"Bernard Tschumi"
"40","French and Swiss",1979,"Bernard Tschumi"
"41","French and Swiss",1980,"Bernard Tschumi"
"42","French and Swiss",1979,"Bernard Tschumi"
"43","French and Swiss",1979,"Bernard Tschumi"
"44","French and Swiss",1979,"Bernard Tschumi"
"45","French and Swiss",1979,"Bernard Tschumi"
"46","French and Swiss",1979,"Bernard Tschumi"
"47","French and Swiss",1979,"Bernard Tschumi"
"48","French and Swiss",1980,"Bernard Tschumi"
"49","French and Swiss",1980,"Bernard Tschumi"
"50","French and Swiss",1980,"Bernard Tschumi"
"51","French and Swiss",1980,"Bernard Tschumi"
"52","French and Swiss",1980,"Bernard Tschumi"
"53","French and Swiss",1980,"Bernard Tschumi"
"54","French and Swiss",1980,"Bernard Tschumi"
"55","French and Swiss",1980,"Bernard Tschumi"
"56","French and Swiss",1980,"Bernard Tschumi"
"57","French and Swiss",1980,"Bernard Tschumi"
"58","French and Swiss",1980,"Bernard Tschumi"
"59","French and Swiss",1980,"Bernard Tschumi"
"60","French and Swiss",1980,"Bernard Tschumi"
"61","French and Swiss",1980,"Bernard Tschumi"
"62","French and Swiss",1980,"Bernard Tschumi"
"63","French and Swiss",1980,"Bernard Tschumi"
"64","German",1918,"Hans Poelzig"
"65","American",1970,"Raimund Abraham"
"66","American",1975,"Peter Eisenman, Robert Cole"
"67","Dutch",1987,"Rem Koolhaas, Madelon Vriesendorp"
"68","American",1979,"Roger C. Ferri"
"69","French and Swiss",1984,"Bernard Tschumi"
"70","American",1979,"Roger C. Ferri"
"71","French and Swiss",1986,"Bernard Tschumi"
"72","American",1979,"Roger C. Ferri"
"73","American",1978,"Michael Graves"
"74","American",1978,"Michael Graves"
"75","American",1978,"Michael Graves"
"76","American",1978,"Michael Graves"
"77","Italian",1974,"Aldo Rossi, Gianni Braghieri, M. Bosshard"
"79","Swedish",1917,"Erik Gunnar Asplund"
"80","Swedish",1917,"Erik Gunnar Asplund"
"81","Swedish",1917,"Erik Gunnar Asplund"
"82","Swedish",1917,"Erik Gunnar Asplund"
"83","Swedish",1917,"Erik Gunnar Asplund"
"84","Swedish",1923,"Erik Gunnar Asplund"
"85","Swedish",1923,"Erik Gunnar Asplund"
"86","Swedish",1923,"Erik Gunnar Asplund"
"87","Swedish",1923,"Erik Gunnar Asplund"
"94","Swedish",1930,"Erik Gunnar Asplund"
"95","Swedish",1936,"Erik Gunnar Asplund"
"97","Swedish",1935,"Erik Gunnar Asplund"
"98","Swedish",1935,"Erik Gunnar Asplund"
"99","Swedish",1935,"Erik Gunnar Asplund"
"100","Swedish",1935,"Erik Gunnar Asplund"
"101","Swedish",1935,"Erik Gunnar Asplund"
"102","Swedish",1935,"Erik Gunnar Asplund"
"107","Swedish",1937,"Erik Gunnar Asplund, Sigurd Lewerentz"
"108","Swedish",1937,"Erik Gunnar Asplund"
"109","Swedish",1937,"Erik Gunnar Asplund"
"110","American",1938,"Paul Nelson, Frantz Jourdain, Oscar Nitzchke"
"111","American",1938,"Paul Nelson, Frantz Jourdain, Oscar Nitzchke"
"112","American",1938,"Paul Nelson, Oscar Nitzchke, Frantz Jourdain"
"113","American",1938,"Paul Nelson, Frantz Jourdain, Oscar Nitzchke"
"114","American",1977,"Steven Holl"
"115","American",1977,"Steven Holl"
"116","American",1935,"Erich Mendelsohn"
"117","American",1977,"Steven Holl"
"119","American",1958,"Paolo Soleri"
"120","American",1980,"Steven Holl"
"122","American",1984,"Steven Holl"
"124","American",1985,"Steven Holl"
"125","American",1936,"Erich Mendelsohn"
"126","American",1986,"Steven Holl"
"127","American",1936,"Erich Mendelsohn"
"128","American",1986,"Steven Holl"
"129","American",1936,"Erich Mendelsohn"
"130","American",1986,"Steven Holl"
"131","American",1936,"Erich Mendelsohn"
"132","American",1986,"Steven Holl"
"133","American",1936,"Erich Mendelsohn"
"134","American",1986,"Steven Holl"
"136","American",1986,"Steven Holl"
"137","American",1936,"Erich Mendelsohn"
"138","American",1986,"Steven Holl"
"140","American",1989,"Paul Rudolph"
"142","American",1949,"Paul Rudolph"
"144","American",1958,"Paul Rudolph"
"147","American",1935,"Erich Mendelsohn"
"148","American",1935,"Erich Mendelsohn"
"149","American",1935,"Erich Mendelsohn"
"150","British",1979,"Peter Cook"
"151","American",1989,"Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio"
"152","British",1991,"Zaha Hadid"
"153","Japanese",1980,"Fumihiko Maki"
"154","Dutch",1975,"Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp"
"155","American",1941,"Frank Lloyd Wright"
"156","American",1941,"Frank Lloyd Wright"
"157","American",1941,"Frank Lloyd Wright"
"158","American",1941,"Frank Lloyd Wright"
"159","Italian",1987,"Mario Bellini"
"160","American",1965,"Venturi and Rauch, Robert Venturi, John Rauch"
"161","American",1978,"Venturi and Rauch, Robert Venturi, John Rauch, Denise Scott Brown"
"162","American",1981,"Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown"
"163","American",1981,"Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown"
"164","American",1983,"Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown"
"165","Argentine",1975,"Emilio Ambasz"
"166","American",1979,"Raimund Abraham"
"167","Japanese",1985,"Tadao Ando"
"168","Japanese",1985,"Tadao Ando"
"169","Japanese",1985,"Tadao Ando"
"171","Japanese",1992,"Arata Isozaki"
"172","Japanese",1992,"Arata Isozaki"
"173","Japanese",1992,"Arata Isozaki"
"174","Japanese",1992,"Arata Isozaki"
"175","Japanese",1992,"Arata Isozaki"
"176","Japanese",1992,"Arata Isozaki"
"177","Japanese",1992,"Arata Isozaki"
"178","Dutch",1923,"Theo van Doesburg (Christian Emil Marie K¨¹pper), Cornelis van Eesteren"
"179","Japanese",1992,"Arata Isozaki"
"180","Japanese",1992,"Arata Isozaki"
"181","Japanese",1992,"Arata Isozaki"
"182","Japanese",1992,"Arata Isozaki"
"183","Japanese",1992,"Arata Isozaki"
"184","French and Swiss",1983,"Bernard Tschumi"
"194","Brazilian",1953,"Roberto Burle Marx, Oscar Niemeyer"
"195","Brazilian",1953,"Roberto Burle Marx, Oscar Niemeyer"
"196","American",1992,"Neil M. Denari"
"197","American",1910,"Ludwig Mies van der Rohe"
"198","American",1970,"David Jacob"
"199","Swiss",1986,"Mario Botta"
"201","Swiss",1985,"Mario Botta"
"203","Swiss",1982,"Mario Botta"
"204","Swiss",1982,"Mario Botta"
"205","American",1945,"R. Buckminster Fuller"
"207","American",1945,"R. Buckminster Fuller"
"210","Swiss",1982,"Mario Botta"
"211","Swiss",1985,"Mario Botta"
"212","Swiss",1985,"Mario Botta"
"213","Swiss",1985,"Mario Botta"
"214","Swiss",1986,"Mario Botta"
"215","Swiss",1984,"Mario Botta"
"216","Swiss",1985,"Mario Botta"
"217","Swiss",1986,"Mario Botta"
"218","Swiss",1985,"Mario Botta"
"219","Swiss",1985,"Mario Botta"
"220","Swiss",1985,"Mario Botta"
"221","Swiss",1984,"Mario Botta"
"222","Swiss",1984,"Mario Botta"
"223","American",1923,"Frank Lloyd Wright"
"224","Italian",1974,"Alessandro Mendini"
"225","American",1923,"Frank Lloyd Wright"
"226","American",1923,"Frank Lloyd Wright"
"227","Brazilian",1953,"Roberto Burle Marx"
"228","American",1938,"Herbert Bayer"
"229","Luxembourgish",1974,"Leon Krier"
"230","American",1938,"Ludwig Mies van der Rohe"
"231","American",1938,"Ludwig Mies van der Rohe"
"232","American",1938,"Ludwig Mies van der Rohe"
"233","American",1938,"Ludwig Mies van der Rohe"
"234","American",1938,"Ludwig Mies van der Rohe"
"235","American",1938,"Ludwig Mies van der Rohe"
"236","American",1979,"Daniel Libeskind"
"237","American",1987,"Thom Mayne, Andrew Zago"
"238","American",1987,"Thom Mayne, Andrew Zago"
"239","founded  American",1990,"Morphosis, Santa Monica, CA, Thom Mayne, Andrew Zago"
"240","Dutch",1981,"Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp"
"241","Italian",1976,"Aldo Rossi"
"242","American",1995,"Joel Sanders"
"243","American",1995,"Joel Sanders"
"244","Italian",1975,"Massimo Scolari"
"245","American",1927,"Frank Lloyd Wright"
"247","American",1964,"Raimund Abraham"
"248","American",1964,"Raimund Abraham"
"249","American",1959,"Kenneth Snelson"
"252","Italian",1939,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano"
"253","Luxembourgish",1977,"Leon Krier"
"254","Luxembourgish",1977,"Leon Krier"
"255","Luxembourgish",1980,"Leon Krier"
"257","American",1976,"Richard Meier"
"259","American",1975,"Richard Meier"
"261","American",1979,"Richard Meier"
"262","American",1975,"Richard Meier"
"263","American",1979,"Richard Meier"
"264","Italian",1938,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano"
"265","Italian",1938,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano"
"266","Italian",1938,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano, Mario Romano, Giovanni Guerrini"
"267","American",1992,"Raimund Abraham"
"268","Argentine",1992,"Emilio Ambasz"
"269","Argentine",1992,"Emilio Ambasz"
"270","Japanese",1989,"Tadao Ando"
"271","Japanese",1989,"Tadao Ando"
"272","Japanese",1989,"Tadao Ando"
"273","Japanese",1989,"Tadao Ando"
"274","American",1993,"Raimund Abraham"
"275","Japanese",1989,"Tadao Ando"
"276","American",1991,"Rafael Vi<U+00F1>oly"
"277","Italian",1989,"Mario Bellini"
"278","American",1991,"Rafael Vi<U+00F1>oly"
"279","American",1991,"Rafael Vi<U+00F1>oly"
"280","American",1991,"Rafael Vi<U+00F1>oly"
"281","American",1991,"Rafael Vi<U+00F1>oly"
"282","American",1991,"Rafael Vi<U+00F1>oly"
"283","American",1991,"Rafael Vi<U+00F1>oly"
"284","American",1991,"Rafael Vi<U+00F1>oly"
"285","Italian",1991,"Mario Bellini"
"286","American",1989,"Rafael Vi<U+00F1>oly"
"287","Swiss",1996,"Mario Botta"
"288","Spanish",1988,"Santiago Calatrava"
"289","Spanish",1992,"Santiago Calatrava"
"290","British",1985,"Norman Foster"
"291","British",1985,"Norman Foster"
"292","British",1985,"Norman Foster"
"293","British",1982,"Zaha Hadid"
"294","British",1982,"Zaha Hadid"
"295","British",1982,"Zaha Hadid"
"296","British",1982,"Zaha Hadid"
"297","British",1982,"Zaha Hadid"
"298","British",1982,"Zaha Hadid"
"299","British",1982,"Zaha Hadid"
"300","British",1982,"Zaha Hadid"
"301","British",1982,"Zaha Hadid"
"302","British",1982,"Zaha Hadid"
"303","British",1982,"Zaha Hadid"
"304","British",1982,"Zaha Hadid"
"305","British",1982,"Zaha Hadid"
"306","British",1982,"Zaha Hadid"
"307","British",1982,"Zaha Hadid"
"308","British",1982,"Zaha Hadid"
"309","British",1982,"Zaha Hadid"
"310","British",1982,"Zaha Hadid"
"311","British",1982,"Zaha Hadid"
"312","British",1982,"Zaha Hadid"
"313","British",1982,"Zaha Hadid"
"314","American",1952,"Louis I. Kahn"
"315","Japanese",1990,"Arata Isozaki"
"316","American",1921,"Ludwig Mies van der Rohe"
"317","American",1957,"Louis I. Kahn"
"318","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"319","American",1956,"Louis I. Kahn"
"320","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"321","American",1924,"Frederick Kiesler"
"322","American",1962,"Louis I. Kahn"
"323","American",1924,"Frederick Kiesler"
"324","American",1957,"Louis I. Kahn"
"325","American",1924,"Frederick Kiesler"
"326","American",1957,"Louis I. Kahn"
"327","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"328","American",1925,"Frederick Kiesler"
"329","American",1957,"Louis I. Kahn"
"330","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"331","American",1957,"Louis I. Kahn"
"332","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"333","American",1957,"Louis I. Kahn"
"334","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"335","American",1957,"Louis I. Kahn"
"336","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"337","American",1960,"Louis I. Kahn"
"338","American",1984,"Raimund Abraham"
"339","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"340","American",1958,"Louis I. Kahn"
"341","Argentine",1979,"Emilio Ambasz"
"342","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"343","American",1958,"Louis I. Kahn"
"344","Argentine",1979,"Emilio Ambasz"
"345","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"346","American",1958,"Louis I. Kahn"
"347","American",1969,"Jason Crum"
"348","Argentine",1979,"Emilio Ambasz"
"349","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"350","American",1958,"Louis I. Kahn"
"351","American",1969,"Jason Crum"
"352","Japanese",1991,"Tadao Ando"
"353","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"354","American",1958,"Louis I. Kahn"
"355","American",1969,"Jason Crum"
"356","Italian",1989,"Mario Bellini"
"357","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"358","American",1958,"Louis I. Kahn"
"359","Spanish",1994,"Ricardo Bofill"
"360","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"361","American",1958,"Louis I. Kahn"
"362","Swiss",1994,"Mario Botta"
"363","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"364","American",1958,"Louis I. Kahn"
"365","American",1991,"Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio"
"366","Dutch",1972,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis"
"367","American",1959,"Louis I. Kahn"
"368","Spanish",1979,"Ricardo Bofill"
"369","American",1990,"Frank O. Gehry"
"370","Luxembourgish",1969,"Leon Krier"
"371","American",1969,"Louis I. Kahn"
"372","Spanish",1979,"Ricardo Bofill"
"373","Austrian",1993,"Wolf D. Prix, Helmut Swiczinsky"
"374","American",1976,"Cesar Pelli"
"375","American",1960,"Louis I. Kahn"
"376","Spanish",1979,"Ricardo Bofill"
"377","American",1994,"Chuck Hoberman"
"378","American",1976,"Cesar Pelli"
"379","American",1961,"Louis I. Kahn"
"380","Spanish",1985,"Ricardo Bofill"
"381","American",1989,"Steven Holl"
"382","American",1976,"Cesar Pelli"
"383","American",1962,"Louis I. Kahn"
"384","Spanish",1985,"Ricardo Bofill"
"385","Austrian",1994,"Hans Hollein"
"386","American",1976,"Cesar Pelli"
"387","American",1962,"Louis I. Kahn"
"388","Spanish",1985,"Ricardo Bofill"
"389","Luxembourgish",1984,"Leon Krier"
"390","American",1976,"Cesar Pelli"
"391","American",1962,"Louis I. Kahn"
"392","Spanish",1985,"Ricardo Bofill"
"393","American",1992,"Scott Marble, Karen Fairbanks"
"394","American",1976,"Cesar Pelli"
"395","American",1960,"Louis I. Kahn"
"396","Japanese",1992,"Yoshito Takahashi"
"397","American",1976,"Cesar Pelli"
"398","American",1960,"Louis I. Kahn"
"399","Spanish",1985,"Ricardo Bofill"
"400","French and Swiss",1992,"Bernard Tschumi"
"401","American",1976,"Cesar Pelli"
"402","American",1962,"Louis I. Kahn"
"403","Spanish",1985,"Ricardo Bofill"
"404","American",1991,"Rafael Vi<U+00F1>oly"
"405","American",1991,"Rafael Vi<U+00F1>oly"
"406","American",1991,"Rafael Vi<U+00F1>oly"
"407","American",1976,"Cesar Pelli"
"408","American",1952,"Louis I. Kahn"
"409","American",1963,"Louis I. Kahn"
"410","Spanish",1985,"Ricardo Bofill"
"411","American",1976,"Cesar Pelli"
"412","American",1952,"Louis I. Kahn"
"413","American",1963,"Louis I. Kahn"
"415","American",1976,"Cesar Pelli"
"416","American",1964,"Louis I. Kahn"
"417","American",1962,"Louis I. Kahn"
"418","Dutch",1927,"Theo van Doesburg (Christian Emil Marie K¨¹pper)"
"420","American",1976,"Cesar Pelli"
"421","American",1962,"Louis I. Kahn"
"422","American",1963,"Louis I. Kahn"
"423","Dutch",1927,"Theo van Doesburg (Christian Emil Marie K¨¹pper)"
"425","American",1976,"Cesar Pelli"
"426","American",1963,"Louis I. Kahn"
"427","American",1965,"Louis I. Kahn"
"428","British",1978,"James Stirling"
"429","Spanish",1979,"Ricardo Bofill"
"430","American",1976,"Cesar Pelli"
"431","American",1963,"Louis I. Kahn"
"432","American",1965,"Louis I. Kahn"
"433","British",1978,"James Stirling"
"434","Spanish",1987,"Ricardo Bofill"
"435","American",1981,"Paul Rudolph"
"436","American",1963,"Louis I. Kahn"
"437","American",1965,"Louis I. Kahn"
"438","British",1978,"James Stirling"
"440","Austrian",1981,"Wolf D. Prix, Helmut Swiczinsky"
"441","American",1992,"Robert A. M. Stern"
"442","American",1963,"Louis I. Kahn"
"443","American",1962,"Louis I. Kahn"
"444","British",1978,"James Stirling"
"445","Luxembourgish",1985,"Leon Krier"
"446","American",1977,"Venturi and Rauch, John Rauch, Robert Venturi"
"447","American",1989,"James Wines, Alison Sky, Michelle Stone, Emilio Sousa"
"448","American",1963,"Louis I. Kahn"
"449","American",1964,"Louis I. Kahn"
"450","British",1978,"James Stirling"
"451","Luxembourgish",1985,"Leon Krier"
"452","American",1996,"Harry C. Wolf"
"453","American",1963,"Louis I. Kahn"
"454","American",1964,"Louis I. Kahn"
"455","British",1978,"James Stirling"
"456","Luxembourgish",1985,"Leon Krier"
"457","Iranian",1996,"Mehrdad Yazdani"
"458","American",1963,"Louis I. Kahn"
"459","American",1964,"Louis I. Kahn"
"460","Luxembourgish",1985,"Leon Krier"
"461","American",1963,"Louis I. Kahn"
"462","American",1963,"Louis I. Kahn"
"463","Luxembourgish",1985,"Leon Krier"
"464","American",1963,"Louis I. Kahn"
"465","American",1963,"Louis I. Kahn"
"466","Luxembourgish",1985,"Leon Krier"
"467","American",1963,"Louis I. Kahn"
"468","American",1963,"Louis I. Kahn"
"469","Luxembourgish",1985,"Leon Krier"
"470","American",1963,"Louis I. Kahn"
"471","American",1963,"Louis I. Kahn"
"472","Luxembourgish",1985,"Leon Krier"
"473","American",1961,"Louis I. Kahn"
"474","American",1963,"Louis I. Kahn"
"475","Luxembourgish",1985,"Leon Krier"
"476","American",1962,"Louis I. Kahn"
"477","American",1965,"Louis I. Kahn"
"478","French",1929,"Le Corbusier (Charles-¨¦douard Jeanneret)"
"479","American",1959,"Louis I. Kahn"
"480","American",1965,"Louis I. Kahn"
"481","American",1958,"Paul Rudolph"
"482","American",1959,"Louis I. Kahn"
"483","American",1964,"Louis I. Kahn"
"485","American",1961,"Louis I. Kahn"
"486","American",1965,"Louis I. Kahn"
"487","American",1967,"Paul Rudolph"
"488","American",1961,"Louis I. Kahn"
"489","American",1965,"Louis I. Kahn"
"490","American",1983,"Paul Rudolph"
"491","American",1961,"Louis I. Kahn"
"492","American",1965,"Louis I. Kahn"
"493","American",1961,"Louis I. Kahn"
"494","American",1965,"Louis I. Kahn"
"495","American",1956,"Louis I. Kahn"
"496","American",1964,"Louis I. Kahn"
"497","American",1956,"Louis I. Kahn"
"498","American",1965,"Louis I. Kahn"
"499","American",1957,"Louis I. Kahn"
"500","American",1965,"Louis I. Kahn"
"502","American",1965,"Louis I. Kahn"
"503","American",1959,"Louis I. Kahn"
"504","American",1965,"Louis I. Kahn"
"505","American",1961,"Louis I. Kahn"
"506","American",1965,"Louis I. Kahn"
"507","American",1960,"Louis I. Kahn"
"508","American",1963,"Louis I. Kahn"
"509","American",1960,"Louis I. Kahn"
"510","American",1964,"Louis I. Kahn"
"511","American",1960,"Louis I. Kahn"
"512","American",1963,"Louis I. Kahn"
"514","American",1963,"Louis I. Kahn"
"515","American",1961,"Louis I. Kahn"
"516","American",1963,"Louis I. Kahn"
"518","American",1964,"Louis I. Kahn"
"519","American",1962,"Louis I. Kahn"
"520","American",1964,"Louis I. Kahn"
"521","American",1963,"Louis I. Kahn"
"522","American",1963,"Louis I. Kahn"
"523","American",1936,"Oscar Nitzchke, Hugo Herdeg"
"524","American",1936,"Oscar Nitzchke"
"525","American",1936,"Oscar Nitzchke"
"526","American",1936,"Oscar Nitzchke"
"527","American",1936,"Oscar Nitzchke"
"528","American",1934,"Oscar Nitzchke"
"529","American",1936,"Oscar Nitzchke"
"530","American",1936,"Oscar Nitzchke"
"531","American",1936,"Oscar Nitzchke"
"532","American",1936,"Oscar Nitzchke"
"533","American",1936,"Oscar Nitzchke"
"534","American",1936,"Oscar Nitzchke"
"535","American",1936,"Oscar Nitzchke"
"536","American",1964,"Louis I. Kahn"
"537","American",1962,"Edward Larrabee Barnes"
"538","American",1964,"Louis I. Kahn"
"539","Dutch",1987,"Rem Koolhaas, G<U+00F6>tz Keller, Willem Jan Neutelings, Brigitte Kochta, Marty Kohn, Luc Reuse, Ron Steiner, Jeroen Thomas, Garciella Torre"
"540","American",1964,"Louis I. Kahn"
"541","Japanese",1961,"Kisho Kurokawa"
"542","American",1965,"Louis I. Kahn"
"543","Japanese",1961,"Kisho Kurokawa"
"544","American",1965,"Louis I. Kahn"
"545","French and Swiss",1986,"Bernard Tschumi"
"546","American",1965,"Louis I. Kahn"
"547","Spanish",1992,"Santiago Calatrava"
"548","American",1965,"Louis I. Kahn"
"549","Swiss",1979,"Mario Botta"
"550","Austrian",1963,"Hans Hollein"
"551","Swiss",1981,"Mario Botta"
"552","Austrian",1964,"Hans Hollein"
"553","Swiss",1982,"Mario Botta"
"554","Austrian",1964,"Hans Hollein"
"555","Swiss",1985,"Mario Botta"
"556","Austrian",1964,"Hans Hollein"
"557","Swiss",1986,"Mario Botta"
"558","Austrian",1964,"Hans Hollein"
"560","Austrian",1964,"Hans Hollein"
"561","Swiss",1979,"Mario Botta"
"562","Austrian",1964,"Hans Hollein"
"563","American",1958,"Louis I. Kahn"
"564","Austrian",1964,"Hans Hollein"
"565","American",1958,"Louis I. Kahn"
"566","Argentine",1978,"Emilio Ambasz"
"567","Argentine",1978,"Emilio Ambasz"
"568","Argentine",1978,"Emilio Ambasz"
"569","American",1940,"Frank Lloyd Wright"
"570","American",1940,"Frank Lloyd Wright"
"572","American",1946,"Frank Lloyd Wright"
"574","American",1946,"Frank Lloyd Wright"
"575","American",1946,"Frank Lloyd Wright"
"578","Dutch",1997,"Wiel Arets"
"580","American",1922,"Ludwig Mies van der Rohe"
"581","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"582","American",1997,"Steven Holl"
"583","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"584","Japanese",1997,"Toyo Ito"
"585","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"586","Dutch",1997,"Rem Koolhaas"
"587","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"588","founded  French",1997,"Dominique Perrault Architecture, Paris, Dominique Perrault"
"589","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"590","Argentine",1975,"Emilio Ambasz"
"591","Italian",1975,"Gaetano Pesce"
"592","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"593","Argentine",1975,"Emilio Ambasz"
"594","American",1995,"Joel Sanders"
"595","American",1995,"Joel Sanders"
"596","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"597","Argentine",1975,"Emilio Ambasz"
"598","Japanese Japanese",1997,"Taniguchi & Associates, Yoshio Taniguchi"
"599","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"600","Argentine",1979,"Emilio Ambasz"
"601","Swiss",1997,"Bernard Tschumi Architects"
"602","American",1978,"Skidmore Owings & Merrill, Gordon Bunshaft"
"603","Argentine",1979,"Emilio Ambasz"
"604","American",1997,"Rafael Vi<U+00F1>oly Architects"
"605","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"606","Argentine",1979,"Emilio Ambasz"
"607","",1997,"Tod Williams Billie Tsien and Associates"
"608","American",1977,"Skidmore Owings & Merrill, Gordon Bunshaft"
"610","American",1986,"Frank O. Gehry"
"611","American",1975,"Richard Meier"
"612","American",1975,"Richard Meier"
"613","Austrian",1963,"Hans Hollein"
"614","Austrian",1962,"Hans Hollein"
"615","Austrian",1963,"Walter Pichler"
"616","Austrian",1963,"Walter Pichler"
"617","Austrian",1962,"Walter Pichler"
"618","Austrian",1962,"Walter Pichler"
"619","American",1942,"Ludwig Mies van der Rohe"
"620","American",1954,"Ludwig Mies van der Rohe"
"621","American",1968,"Louis I. Kahn"
"622","American",1968,"Louis I. Kahn"
"623","American",1978,"SITE (Sculpture in the Environment), James Wines"
"624","American",1978,"SITE (Sculpture in the Environment), James Wines"
"625","American",1981,"SITE (Sculpture in the Environment), James Wines"
"626","American",1981,"SITE (Sculpture in the Environment), James Wines"
"627","American",1979,"SITE (Sculpture in the Environment), James Wines"
"628","American",1916,"Frank Lloyd Wright"
"629","American",1973,"John Hejduk"
"630","American",1973,"John Hejduk"
"631","American",1973,"John Hejduk"
"634","American",1926,"Ludwig Mies van der Rohe"
"635","American",1926,"Ludwig Mies van der Rohe"
"644","American",1932,"Ludwig Mies van der Rohe"
"645","American",1932,"Ludwig Mies van der Rohe"
"646","American",1932,"Ludwig Mies van der Rohe"
"647","American",1932,"Ludwig Mies van der Rohe"
